converterSerial,bgswid,objectName,gateway,GW_online,GW_health,GW_last_seen,FWversion,connection,mobile_rssi,disconnects_last_24h,gotVislist,vislistCount,isBinded,inVislist,seenCountToday,see_MBP_reqs,see_MDP_resps,resp_status_ok,conv_error_and_MB_exception
00042331,25716973,Goltzstraße 49,020000014000696B,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-79,0,YES,4,YES,NO
00176240,2904905,Kinzigstraße 37,0700000170010782,NO,critical,2025-10-04 14:09,vfde-57-beta-4,unknown,,0,SKIP
00176314,2972107,Platz der Vereinten Nationen 27,02000001400075B5,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-79,1,YES,1,NO,NO
00176181,2946062,Modersohnstraße 70,02000001400074FF,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-77,0,YES,0,YES,NO
00176342,2955302,Nikolaikirchplatz 5,02000001400075A1,NO,ok,2025-10-14 06:38,3.1.21-vfde-57,mobile,-83,48,NO
00176254,2955302,Nikolaikirchplatz 5,02000001400075A1,NO,ok,2025-10-14 06:38,3.1.21-vfde-57,mobile,-83,48,NO
00042351,1101,Michael-Schumacher-Str.1,0200000140002F7A,NO,critical,2024-08-30 04:55,3.1.21-vfde-56,mobile,-69,0,SKIP
00176027,2909038,Kochhannstraße 15a,020000014000696A,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-89,0,YES,231,YES,NO
00042324,3037943,Torstraße 208,02000001400075F2,YES,ok,2025-10-14 06:50,3.1.21-vfde-57,mobile,-81,0,YES,47,YES,NO
00176198,22715389,Habersaathstraße 4,020000014000726A,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-61,0,YES,4,YES,YES,91,NO,NO,NO,
00176184,2972111,Platz der Vereinten Nationen 31,02000001400076A9,YES,ok,2025-10-14 06:52,3.1.21-vfde-57,mobile,-75,0,YES,7,YES,YES,49,NO,NO,NO,
00176368,2752327,Alexandrinenstraße 35,020000014000767A,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-77,0,YES,181,YES,YES,91,NO,NO,NO,
00176019,3023629,Stralauer Allee 31c,0200000140006FB1,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-85,0,YES,20,YES,YES,96,NO,NO,NO,
00176375,2928493,Linienstraße 119c ,0200000140006E91,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-77,0,YES,97,YES,YES,96,NO,NO,NO,
00176010,3004865,Schreinerstraße 16,0200000140006947,YES,ok,2025-10-14 06:49,3.1.21-vfde-57,mobile,-83,0,YES,251,YES,YES,50,NO,NO,NO,
00175989,32328120,Lichtenberger Straße 22,020000014000775C,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-81,0,YES,128,YES,YES,92,NO,NO,NO,
00175840,3030804,Südekumzeile 7b,02000001400068D9,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-83,0,YES,2,YES,YES,95,NO,NO,NO,
00187656,2999541,Scharnweberstraße 59,02000001400069FE,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-65,0,YES,83,YES,YES,86,NO,NO,NO,
